SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_2,adm2_6,adm2_3,adm2_7,adm2_8,adm2_1,adm2_4,adm2_5
34114,9959,1,39,24,6,NA,NA,1795,0,3,0,0,1,0,0,0,0,0
34257,10438,1,62,10,7,NA,NA,1619,1,6,0,1,0,0,0,0,0,0
34292,2913,1,37,2,4,NA,NA,1135,0,1,0,0,0,0,0,1,0,0
34302,5472,1,72,16,4,NA,NA,2068,0,3,0,0,1,0,0,0,0,0
34325,5287,1,67,27,1,NA,NA,2350,1,4,0,0,0,0,0,0,1,0
34360,742,1,24,18,2,NA,NA,1156,0,5,0,0,0,0,0,0,0,1
34411,5197,1,26,7,4,NA,NA,1682,0,6,0,1,0,0,0,0,0,0
34436,9646,1,18,12,3,NA,NA,1356,0,1,0,0,0,0,0,1,0,0
34442,4191,1,30,14,3,NA,NA,1773,0,1,0,0,0,0,0,1,0,0
34490,417,1,30,16,7,NA,NA,1488,1,5,0,0,0,0,0,0,0,1
34592,5841,1,68,10,1,NA,NA,653,1,6,0,1,0,0,0,0,0,0
34595,9528,1,24,7,5,NA,NA,1889,0,1,0,0,0,0,0,1,0,0
34601,9832,1,26,2,4,NA,NA,1576,0,1,0,0,0,0,0,1,0,0
34605,10851,1,42,10,7,NA,NA,1228,1,8,0,0,0,0,1,0,0,0
34614,9804,1,47,2,4,NA,NA,1293,0,1,0,0,0,0,0,1,0,0
34736,2169,1,64,24,2,NA,NA,1205,0,8,0,0,0,0,1,0,0,0
34797,10487,1,70,29,5,NA,NA,795,0,1,0,0,0,0,0,1,0,0
34837,6646,1,37,29,7,NA,NA,2558,1,3,0,0,1,0,0,0,0,0
34899,9948,1,44,24,5,NA,NA,1937,0,4,0,0,0,0,0,0,1,0
34914,7403,1,35,4,1,NA,NA,1613,1,8,0,0,0,0,1,0,0,0
35000,11682,1,48,19,7,NA,NA,1621,1,3,0,0,1,0,0,0,0,0
35017,5756,1,58,19,4,NA,NA,1400,0,8,0,0,0,0,1,0,0,0
35125,2932,1,40,5,7,NA,NA,2733,1,3,0,0,1,0,0,0,0,0
35219,8207,1,24,5,2,NA,NA,1609,0,8,0,0,0,0,1,0,0,0
35244,1856,1,30,25,6,NA,NA,1733,0,1,0,0,0,0,0,1,0,0
35251,5102,1,40,22,7,NA,NA,1652,1,7,0,0,0,1,0,0,0,0
35256,11665,1,60,31,7,NA,NA,1554,1,1,0,0,0,0,0,1,0,0
35320,5939,1,48,6,6,NA,NA,998,0,6,0,1,0,0,0,0,0,0
35327,6528,1,47,21,6,NA,NA,1325,0,8,0,0,0,0,1,0,0,0
35332,5620,1,21,18,2,NA,NA,1550,0,5,0,0,0,0,0,0,0,1
35341,3047,1,28,20,4,NA,NA,1525,0,5,0,0,0,0,0,0,0,1
35358,5539,1,59,14,1,NA,NA,2417,1,4,0,0,0,0,0,0,1,0
35407,986,1,34,16,4,NA,NA,1779,0,4,0,0,0,0,0,0,1,0
35448,1242,1,45,12,2,NA,NA,1130,0,8,0,0,0,0,1,0,0,0
35482,11637,1,45,25,6,NA,NA,1518,0,1,0,0,0,0,0,1,0,0
35503,290,1,35,14,1,NA,NA,1692,1,4,0,0,0,0,0,0,1,0
35588,9798,1,33,12,7,NA,NA,1504,1,4,0,0,0,0,0,0,1,0
35601,5030,1,48,17,6,NA,NA,1681,0,2,1,0,0,0,0,0,0,0
35632,10767,1,43,11,5,NA,NA,2493,0,4,0,0,0,0,0,0,1,0
35698,128,1,32,23,7,NA,NA,1506,1,5,0,0,0,0,0,0,0,1
35759,7010,1,95,29,3,NA,NA,771,0,4,0,0,0,0,0,0,1,0
35782,5824,1,42,29,3,NA,NA,2004,0,3,0,0,1,0,0,0,0,0
35846,5287,1,34,27,1,NA,NA,2005,1,4,0,0,0,0,0,0,1,0
35873,1718,1,48,22,6,NA,NA,1500,0,5,0,0,0,0,0,0,0,1
35924,5895,1,50,8,4,NA,NA,1599,0,2,1,0,0,0,0,0,0,0
