SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_1,adm2_6,adm2_2,adm2_7,adm2_4,adm2_3,adm2_5,adm2_8
7360,11119,2,20,5,5,1,NA,2271,0,4,0,0,0,0,1,0,0,0
7371,3272,2,32,22,4,1,NA,1827,0,7,0,0,0,1,0,0,0,0
7393,2264,2,55,26,6,0,NA,3717,0,6,0,1,0,0,0,0,0,0
7400,7745,2,26,27,7,1,NA,2079,1,5,0,0,0,0,0,0,1,0
7437,5402,2,50,15,5,0,NA,3170,0,6,0,1,0,0,0,0,0,0
7453,938,2,48,14,5,1,NA,3084,0,7,0,0,0,1,0,0,0,0
7458,1607,2,49,2,3,1,NA,3611,0,4,0,0,0,0,1,0,0,0
7498,694,2,18,20,5,1,NA,2047,0,8,0,0,0,0,0,0,0,1
7508,10933,2,75,17,5,0,NA,1101,0,3,0,0,0,0,0,1,0,0
7538,1255,2,22,25,3,1,NA,3822,0,3,0,0,0,0,0,1,0,0
7554,6814,2,45,26,1,1,NA,2585,1,7,0,0,0,1,0,0,0,0
7569,7086,2,70,17,5,0,NA,1153,0,3,0,0,0,0,0,1,0,0
7589,135,2,65,22,4,0,NA,2443,0,4,0,0,0,0,1,0,0,0
7595,237,2,30,11,3,1,NA,2023,0,4,0,0,0,0,1,0,0,0
7599,2900,2,20,18,2,1,NA,1128,0,7,0,0,0,1,0,0,0,0
7604,5252,2,25,17,6,1,NA,1839,0,7,0,0,0,1,0,0,0,0
7619,11258,2,22,12,6,1,NA,2077,0,5,0,0,0,0,0,0,1,0
7701,6672,2,25,14,5,1,NA,2467,0,7,0,0,0,1,0,0,0,0
7718,3710,2,48,23,3,1,NA,1828,0,6,0,1,0,0,0,0,0,0
7726,2243,2,20,1,6,1,NA,1498,0,4,0,0,0,0,1,0,0,0
7833,2986,2,36,19,4,1,NA,2790,0,3,0,0,0,0,0,1,0,0
7839,8820,2,28,11,1,1,NA,2305,1,2,0,0,1,0,0,0,0,0
7885,9435,2,60,27,5,0,NA,1287,0,2,0,0,1,0,0,0,0,0
7903,10868,2,42,29,6,1,NA,2136,0,4,0,0,0,0,1,0,0,0
7941,9535,2,66,25,5,0,NA,2292,0,6,0,1,0,0,0,0,0,0
7946,9850,2,32,26,6,1,NA,1329,0,6,0,1,0,0,0,0,0,0
7957,9003,2,50,8,7,0,NA,1604,1,4,0,0,0,0,1,0,0,0
7970,8402,2,37,22,6,1,NA,1816,0,1,1,0,0,0,0,0,0,0
7988,1661,2,25,12,3,1,NA,1853,0,7,0,0,0,1,0,0,0,0
8038,6919,2,20,16,6,1,NA,1869,0,7,0,0,0,1,0,0,0,0
8046,4454,2,55,22,4,0,NA,1721,0,3,0,0,0,0,0,1,0,0
8051,8474,2,51,20,4,0,NA,1337,0,1,1,0,0,0,0,0,0,0
8069,805,2,55,1,4,0,NA,1577,0,5,0,0,0,0,0,0,1,0
8095,7892,2,30,23,3,1,NA,2348,0,6,0,1,0,0,0,0,0,0
8108,608,2,42,25,3,1,NA,1440,0,3,0,0,0,0,0,1,0,0
8124,6846,2,65,18,1,0,NA,1309,1,7,0,0,0,1,0,0,0,0
8137,2066,2,29,22,7,1,NA,2746,1,8,0,0,0,0,0,0,0,1
8152,9932,2,45,11,1,1,NA,2002,1,2,0,0,1,0,0,0,0,0
8155,6383,2,50,12,3,0,NA,2771,0,7,0,0,0,1,0,0,0,0
8163,9518,2,38,23,1,1,NA,1433,1,2,0,0,1,0,0,0,0,0
8218,6898,2,40,1,2,1,NA,2244,0,4,0,0,0,0,1,0,0,0
8224,3833,2,35,20,3,1,NA,2478,0,7,0,0,0,1,0,0,0,0
8248,4959,2,23,28,5,1,NA,1078,0,1,1,0,0,0,0,0,0,0
8256,7159,2,58,28,3,0,NA,1741,0,4,0,0,0,0,1,0,0,0
8268,4500,2,18,20,6,1,NA,733,0,2,0,0,1,0,0,0,0,0
8276,4471,2,26,24,6,1,NA,3500,0,4,0,0,0,0,1,0,0,0
8284,8712,2,23,24,2,1,NA,889,0,3,0,0,0,0,0,1,0,0
8294,2616,2,35,22,7,1,NA,1998,1,2,0,0,1,0,0,0,0,0
8307,3513,2,18,16,6,1,NA,1071,0,7,0,0,0,1,0,0,0,0
8317,11296,2,26,18,7,1,NA,2318,1,3,0,0,0,0,0,1,0,0
8334,10125,2,48,15,3,1,NA,1653,0,5,0,0,0,0,0,0,1,0
8344,860,2,31,14,5,1,NA,1768,0,7,0,0,0,1,0,0,0,0
8355,6210,2,48,31,7,1,NA,2822,1,4,0,0,0,0,1,0,0,0
8400,6835,2,35,18,2,1,NA,1544,0,1,1,0,0,0,0,0,0,0
8453,8266,2,38,16,4,1,NA,1938,0,1,1,0,0,0,0,0,0,0
8469,4137,2,20,25,3,1,NA,2430,0,3,0,0,0,0,0,1,0,0
8487,906,2,30,29,2,1,NA,1422,0,5,0,0,0,0,0,0,1,0
8520,8521,2,40,17,5,1,NA,1728,0,5,0,0,0,0,0,0,1,0
8577,7189,2,28,29,2,1,NA,2702,0,5,0,0,0,0,0,0,1,0
8632,9888,2,38,19,7,1,NA,2519,1,3,0,0,0,0,0,1,0,0
8689,11308,2,19,18,1,1,NA,2560,1,7,0,0,0,1,0,0,0,0
8712,2825,2,47,29,4,1,NA,2572,0,4,0,0,0,0,1,0,0,0
8732,7491,2,40,12,7,1,NA,2811,1,5,0,0,0,0,0,0,1,0
8739,1746,2,25,14,5,1,NA,1754,0,7,0,0,0,1,0,0,0,0
8759,11693,2,36,22,4,1,NA,3262,0,3,0,0,0,0,0,1,0,0
8764,2727,2,55,18,3,0,NA,1696,0,8,0,0,0,0,0,0,0,1
8770,10777,2,45,3,4,1,NA,879,0,4,0,0,0,0,1,0,0,0
8852,6440,2,34,11,3,1,NA,1617,0,4,0,0,0,0,1,0,0,0
8866,4594,2,43,14,1,1,NA,1460,1,5,0,0,0,0,0,0,1,0
8872,8033,2,36,25,3,1,NA,1502,0,3,0,0,0,0,0,1,0,0
8956,7049,2,27,13,1,1,NA,2375,1,5,0,0,0,0,0,0,1,0
8962,6340,2,40,15,7,1,NA,1027,1,8,0,0,0,0,0,0,0,1
8987,3927,2,24,23,7,1,NA,1858,1,1,1,0,0,0,0,0,0,0
9011,1169,2,29,8,2,1,NA,1773,0,1,1,0,0,0,0,0,0,0
9092,11384,2,24,27,5,1,NA,2689,0,2,0,0,1,0,0,0,0,0
9156,6704,2,48,16,4,1,NA,1965,0,1,1,0,0,0,0,0,0,0
9279,1707,2,18,22,4,1,NA,1559,0,3,0,0,0,0,0,1,0,0
9299,1629,2,32,1,6,1,NA,2195,0,4,0,0,0,0,1,0,0,0
9342,694,2,39,20,5,1,NA,2559,0,8,0,0,0,0,0,0,0,1
9389,11075,2,25,23,3,1,NA,2996,0,5,0,0,0,0,0,0,1,0
9412,3203,2,26,25,4,1,NA,830,0,2,0,0,1,0,0,0,0,0
9421,6782,2,35,29,2,1,NA,1440,0,5,0,0,0,0,0,0,1,0
9426,312,2,50,9,6,0,NA,1748,0,2,0,0,1,0,0,0,0,0
9453,906,2,70,29,2,0,NA,1884,0,5,0,0,0,0,0,0,1,0
9553,5794,2,19,19,7,1,NA,1585,1,5,0,0,0,0,0,0,1,0
9568,4087,2,38,23,3,1,NA,1638,0,5,0,0,0,0,0,0,1,0
9635,9881,2,32,20,3,1,NA,1465,0,7,0,0,0,1,0,0,0,0
9725,1541,2,70,22,7,0,NA,1671,1,8,0,0,0,0,0,0,0,1
9731,8344,2,44,7,5,1,NA,778,0,8,0,0,0,0,0,0,0,1
9745,7595,2,29,17,5,1,NA,1290,0,3,0,0,0,0,0,1,0,0
9789,4260,2,26,18,2,1,NA,2765,0,1,1,0,0,0,0,0,0,0
9837,9582,2,70,26,6,0,NA,546,0,6,0,1,0,0,0,0,0,0
9899,7319,2,40,25,5,1,NA,2563,0,5,0,0,0,0,0,0,1,0
9938,9794,2,35,19,7,1,NA,1124,1,5,0,0,0,0,0,0,1,0
9952,3888,2,28,25,4,1,NA,2227,0,3,0,0,0,0,0,1,0,0
9967,8811,2,42,22,4,1,NA,2168,0,4,0,0,0,0,1,0,0,0
9977,1947,2,22,8,5,1,NA,1402,0,6,0,1,0,0,0,0,0,0
10031,1199,2,21,28,5,1,NA,2819,0,1,1,0,0,0,0,0,0,0
10036,8028,2,64,20,5,0,NA,1408,0,3,0,0,0,0,0,1,0,0
10053,8060,2,20,13,3,1,NA,1831,0,6,0,1,0,0,0,0,0,0
