SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_3,adm2_8,adm2_11,adm2_6,adm2_9,adm2_2,adm2_4,adm2_1,adm2_10,adm2_7,adm2_5
28514,6350,1,43,18,3,NA,NA,1245,0,7,0,0,0,0,0,0,0,0,0,1,0
28603,10892,1,45,7,2,NA,NA,1666,0,3,1,0,0,0,0,0,0,0,0,0,0
28695,9498,1,64,11,6,NA,NA,1175,0,10,0,0,0,0,0,0,0,0,1,0,0
28740,11809,1,66,10,5,NA,NA,692,0,10,0,0,0,0,0,0,0,0,1,0,0
28754,9990,1,74,15,6,NA,NA,720,0,1,0,0,0,0,0,0,0,1,0,0,0
28876,7053,1,30,18,7,NA,NA,2059,1,8,0,1,0,0,0,0,0,0,0,0,0
28896,6171,1,23,4,5,NA,NA,2039,0,6,0,0,0,1,0,0,0,0,0,0,0
28948,7149,1,20,15,4,NA,NA,1672,0,8,0,1,0,0,0,0,0,0,0,0,0
29011,10834,1,70,19,1,NA,NA,1698,1,9,0,0,0,0,1,0,0,0,0,0,0
29042,3696,1,79,27,3,NA,NA,2386,0,7,0,0,0,0,0,0,0,0,0,1,0
29069,5288,1,18,10,5,NA,NA,1670,0,6,0,0,0,1,0,0,0,0,0,0,0
29086,10280,1,40,2,4,NA,NA,3238,0,2,0,0,0,0,0,1,0,0,0,0,0
29107,4090,1,36,5,6,NA,NA,2814,0,6,0,0,0,1,0,0,0,0,0,0,0
29125,3682,1,45,7,2,NA,NA,1995,0,3,1,0,0,0,0,0,0,0,0,0,0
29165,4342,1,27,16,4,NA,NA,807,0,3,1,0,0,0,0,0,0,0,0,0,0
29270,6845,1,41,27,1,NA,NA,1942,1,4,0,0,0,0,0,0,1,0,0,0,0
29300,8371,1,64,6,1,NA,NA,1652,1,3,1,0,0,0,0,0,0,0,0,0,0
29309,1770,1,54,26,2,NA,NA,1589,0,6,0,0,0,1,0,0,0,0,0,0,0
29342,10109,1,40,13,4,NA,NA,2717,0,5,0,0,0,0,0,0,0,0,0,0,1
29354,6589,1,30,16,4,NA,NA,1320,0,3,1,0,0,0,0,0,0,0,0,0,0
29400,3462,1,63,11,4,NA,NA,1525,0,1,0,0,0,0,0,0,0,1,0,0,0
29483,7117,1,67,22,5,NA,NA,1229,0,6,0,0,0,1,0,0,0,0,0,0,0
29539,7732,1,19,8,2,NA,NA,1271,0,10,0,0,0,0,0,0,0,0,1,0,0
29599,7263,1,29,23,4,NA,NA,843,0,8,0,1,0,0,0,0,0,0,0,0,0
29681,9130,1,39,17,5,NA,NA,2350,0,11,0,0,1,0,0,0,0,0,0,0,0
29816,8392,1,65,14,5,NA,NA,1646,0,1,0,0,0,0,0,0,0,1,0,0,0
29891,4790,1,48,8,2,NA,NA,608,0,10,0,0,0,0,0,0,0,0,1,0,0
29897,4867,1,48,3,5,NA,NA,1153,0,3,1,0,0,0,0,0,0,0,0,0,0
29924,1534,1,63,21,1,NA,NA,1247,1,11,0,0,1,0,0,0,0,0,0,0,0
30101,1556,1,45,21,6,NA,NA,1664,0,10,0,0,0,0,0,0,0,0,1,0,0
30142,1878,1,37,7,2,NA,NA,2769,0,3,1,0,0,0,0,0,0,0,0,0,0
30247,8430,1,62,26,4,NA,NA,1903,0,10,0,0,0,0,0,0,0,0,1,0,0
30344,11541,1,55,16,4,NA,NA,612,0,11,0,0,1,0,0,0,0,0,0,0,0
30365,6011,1,34,7,2,NA,NA,2680,0,3,1,0,0,0,0,0,0,0,0,0,0
30399,6078,1,46,19,6,NA,NA,1530,0,11,0,0,1,0,0,0,0,0,0,0,0
30406,40,1,27,22,4,NA,NA,1088,0,9,0,0,0,0,1,0,0,0,0,0,0
30458,8096,1,51,28,2,NA,NA,858,0,11,0,0,1,0,0,0,0,0,0,0,0
30481,2993,1,35,21,4,NA,NA,609,0,5,0,0,0,0,0,0,0,0,0,0,1
30510,406,1,22,28,2,NA,NA,3005,0,11,0,0,1,0,0,0,0,0,0,0,0
30531,6423,1,54,8,3,NA,NA,1868,0,10,0,0,0,0,0,0,0,0,1,0,0
30608,3832,1,49,2,4,NA,NA,2599,0,2,0,0,0,0,0,1,0,0,0,0,0
30627,7256,1,65,5,6,NA,NA,2542,0,6,0,0,0,1,0,0,0,0,0,0,0
30636,1306,1,70,16,6,NA,NA,1442,0,5,0,0,0,0,0,0,0,0,0,0,1
30709,1471,1,63,23,4,NA,NA,1742,0,8,0,1,0,0,0,0,0,0,0,0,0
30722,4802,1,64,21,4,NA,NA,2075,0,5,0,0,0,0,0,0,0,0,0,0,1
30884,7279,1,49,15,4,NA,NA,871,0,8,0,1,0,0,0,0,0,0,0,0,0
30906,8444,1,63,30,1,NA,NA,2038,1,2,0,0,0,0,0,1,0,0,0,0,0
30913,6658,1,33,13,4,NA,NA,2417,0,1,0,0,0,0,0,0,0,1,0,0,0
30969,1217,1,25,26,3,NA,NA,1572,0,1,0,0,0,0,0,0,0,1,0,0,0
30978,8577,1,30,15,3,NA,NA,1392,0,11,0,0,1,0,0,0,0,0,0,0,0
30980,1794,1,63,23,4,NA,NA,1726,0,8,0,1,0,0,0,0,0,0,0,0,0
31003,10797,1,22,15,6,NA,NA,2722,0,4,0,0,0,0,0,0,1,0,0,0,0
31009,9777,1,40,19,3,NA,NA,715,0,6,0,0,0,1,0,0,0,0,0,0,0
31017,8916,1,45,7,2,NA,NA,2186,0,3,1,0,0,0,0,0,0,0,0,0,0
31029,2405,1,33,14,6,NA,NA,1063,0,10,0,0,0,0,0,0,0,0,1,0,0
31039,718,1,53,19,7,NA,NA,1353,1,2,0,0,0,0,0,1,0,0,0,0,0
31054,6539,1,42,27,1,NA,NA,1531,1,4,0,0,0,0,0,0,1,0,0,0,0
31058,4844,1,58,20,4,NA,NA,2153,0,1,0,0,0,0,0,0,0,1,0,0,0
31067,11809,1,28,10,5,NA,NA,1310,0,10,0,0,0,0,0,0,0,0,1,0,0
31068,7191,1,22,26,4,NA,NA,618,0,7,0,0,0,0,0,0,0,0,0,1,0
31077,1818,1,18,22,5,NA,NA,1552,0,6,0,0,0,1,0,0,0,0,0,0,0
31090,9207,1,45,22,3,NA,NA,2292,0,7,0,0,0,0,0,0,0,0,0,1,0
31091,10529,1,54,27,4,NA,NA,2105,0,1,0,0,0,0,0,0,0,1,0,0,0
31102,4078,1,51,19,7,NA,NA,2769,1,2,0,0,0,0,0,1,0,0,0,0,0
31152,10559,1,20,25,3,NA,NA,1562,0,7,0,0,0,0,0,0,0,0,0,1,0
31195,2464,1,70,8,3,NA,NA,725,0,3,1,0,0,0,0,0,0,0,0,0,0
31273,8607,1,64,17,3,NA,NA,1695,0,1,0,0,0,0,0,0,0,1,0,0,0
31326,9521,1,45,27,3,NA,NA,1776,0,7,0,0,0,0,0,0,0,0,0,1,0
31354,6665,1,47,22,3,NA,NA,2518,0,7,0,0,0,0,0,0,0,0,0,1,0
31399,4969,1,65,17,7,NA,NA,1452,1,5,0,0,0,0,0,0,0,0,0,0,1
31525,5674,1,70,17,6,NA,NA,1043,0,3,1,0,0,0,0,0,0,0,0,0,0
31541,11443,1,26,22,4,NA,NA,1546,0,9,0,0,0,0,1,0,0,0,0,0,0
31629,5894,1,27,18,2,NA,NA,1436,0,6,0,0,0,1,0,0,0,0,0,0,0
