SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY.x,WEEK_DAY,PREG_LACT.x,BREASTFEEDING.x,sum_VITA_RAE_mcg,CONSUMPTION_DAY.y,PREG_LACT.y,BREASTFEEDING.y,sum_FOLDFE_mcg,CONSUMPTION_DAY.x.x,PREG_LACT.x.x,BREASTFEEDING.x.x,sum_IRON_mg,CONSUMPTION_DAY.y.y,PREG_LACT.y.y,BREASTFEEDING.y.y,sum_ZINC_mg,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_VITB12_mcg,WEEKEND,adm2_,adm2_2,adm2_4,adm2_3,adm2_5,adm2_7,adm2_6,adm2_11,adm2_10,adm2_8,adm2_1,adm2_9
2184,3359,1,52,30,4,NA,NA,171,30,NA,NA,307,30,NA,NA,16.569999999999997,30,NA,NA,11.419999999999998,30,NA,NA,0,0,4,0,1,0,0,0,0,0,0,0,0,0
2200,522,1,23,14,1,NA,NA,37,14,NA,NA,190,14,NA,NA,11.33,14,NA,NA,7.659999999999999,14,NA,NA,0,1,9,0,0,0,0,0,0,0,0,0,0,1
2205,9057,1,52,29,6,NA,NA,152,29,NA,NA,268,29,NA,NA,12.78,29,NA,NA,7.680000000000001,29,NA,NA,0,0,7,0,0,0,0,1,0,0,0,0,0,0
2249,1307,1,19,17,3,NA,NA,33,17,NA,NA,165,17,NA,NA,9.61,17,NA,NA,8.04,17,NA,NA,0,0,4,0,1,0,0,0,0,0,0,0,0,0
2270,3787,1,35,14,7,NA,NA,753,14,NA,NA,212,14,NA,NA,18.41,14,NA,NA,8.11,14,NA,NA,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2272,3715,1,30,30,4,NA,NA,45,30,NA,NA,424,30,NA,NA,18.54,30,NA,NA,10.049999999999999,30,NA,NA,0,0,3,0,0,1,0,0,0,0,0,0,0,0
2280,9446,1,26,26,2,NA,NA,51,26,NA,NA,252,26,NA,NA,15.57,26,NA,NA,9.440000000000001,26,NA,NA,0,0,5,0,0,0,1,0,0,0,0,0,0,0
2287,1731,1,39,8,2,NA,NA,1406,8,NA,NA,185,8,NA,NA,14.77,8,NA,NA,7.3599999999999985,8,NA,NA,0,0,2,1,0,0,0,0,0,0,0,0,0,0
2311,10668,1,45,22,5,NA,NA,995,22,NA,NA,201,22,NA,NA,19.680000000000003,22,NA,NA,7.929999999999998,22,NA,NA,0,0,2,1,0,0,0,0,0,0,0,0,0,0
2327,2457,1,43,23,5,NA,NA,243,23,NA,NA,250,23,NA,NA,13.99,23,NA,NA,8.860000000000001,23,NA,NA,0.873,0,11,0,0,0,0,0,0,1,0,0,0,0
2331,11874,1,59,26,1,NA,NA,26,26,NA,NA,255,26,NA,NA,22.039999999999996,26,NA,NA,13.609999999999998,26,NA,NA,0,1,11,0,0,0,0,0,0,1,0,0,0,0
2348,2058,1,45,24,6,NA,NA,70,24,NA,NA,124,24,NA,NA,11.25,24,NA,NA,8.33,24,NA,NA,0,0,11,0,0,0,0,0,0,1,0,0,0,0
2414,1574,1,24,19,1,NA,NA,243,19,NA,NA,143,19,NA,NA,13.969999999999999,19,NA,NA,6.949999999999999,19,NA,NA,5.052,1,11,0,0,0,0,0,0,1,0,0,0,0
2415,1664,1,37,24,7,NA,NA,136,24,NA,NA,207,24,NA,NA,9.94,24,NA,NA,8.59,24,NA,NA,0,1,5,0,0,0,1,0,0,0,0,0,0,0
2464,5757,1,60,26,6,NA,NA,230,26,NA,NA,269,26,NA,NA,10.020000000000001,26,NA,NA,8.85,26,NA,NA,0,0,5,0,0,0,1,0,0,0,0,0,0,0
2510,7350,1,51,17,2,NA,NA,66,17,NA,NA,186,17,NA,NA,13.979999999999999,17,NA,NA,8.989999999999998,17,NA,NA,0.6030000000000001,0,4,0,1,0,0,0,0,0,0,0,0,0
2562,1140,1,20,26,5,NA,NA,14,26,NA,NA,145,26,NA,NA,8.18,26,NA,NA,8.909999999999998,26,NA,NA,0,0,5,0,0,0,1,0,0,0,0,0,0,0
2570,9416,1,38,25,6,NA,NA,65,25,NA,NA,162,25,NA,NA,11.629999999999999,25,NA,NA,8.54,25,NA,NA,0,0,2,1,0,0,0,0,0,0,0,0,0,0
2674,4827,1,40,9,6,NA,NA,52,9,NA,NA,105,9,NA,NA,9.870000000000001,9,NA,NA,5.92,9,NA,NA,0,0,3,0,0,1,0,0,0,0,0,0,0,0
2694,11881,1,38,24,5,NA,NA,177,24,NA,NA,277,24,NA,NA,11.16,24,NA,NA,9.350000000000001,24,NA,NA,0,0,2,1,0,0,0,0,0,0,0,0,0,0
2767,2528,1,45,4,6,NA,NA,1805,4,NA,NA,143,4,NA,NA,12.66,4,NA,NA,6.93,4,NA,NA,0,0,10,0,0,0,0,0,0,0,1,0,0,0
2769,1693,1,35,5,6,NA,NA,69,5,NA,NA,115,5,NA,NA,7.85,5,NA,NA,6.849999999999999,5,NA,NA,0,0,2,1,0,0,0,0,0,0,0,0,0,0
2815,8131,1,35,8,2,NA,NA,724,8,NA,NA,119,8,NA,NA,9.19,8,NA,NA,6.66,8,NA,NA,0,0,2,1,0,0,0,0,0,0,0,0,0,0
2851,5242,1,36,26,1,NA,NA,637,26,NA,NA,217,26,NA,NA,9.16,26,NA,NA,6.779999999999999,26,NA,NA,0,1,11,0,0,0,0,0,0,1,0,0,0,0
2899,7147,1,60,13,1,NA,NA,122,13,NA,NA,170,13,NA,NA,30.22,13,NA,NA,7.029999999999999,13,NA,NA,4.581,1,1,0,0,0,0,0,0,0,0,0,1,0
2908,7231,1,55,18,4,NA,NA,616,18,NA,NA,136,18,NA,NA,16.439999999999998,18,NA,NA,7.0299999999999985,18,NA,NA,0,0,4,0,1,0,0,0,0,0,0,0,0,0
2912,9248,1,26,11,5,NA,NA,93,11,NA,NA,150,11,NA,NA,8.959999999999999,11,NA,NA,8.699999999999998,11,NA,NA,1.215,0,9,0,0,0,0,0,0,0,0,0,0,1
3013,5305,1,72,14,7,NA,NA,80,14,NA,NA,234,14,NA,NA,13.190000000000001,14,NA,NA,8.24,14,NA,NA,0.7325999999999999,1,5,0,0,0,1,0,0,0,0,0,0,0
3078,4683,1,22,24,7,NA,NA,117,24,NA,NA,234,24,NA,NA,15.099999999999998,24,NA,NA,11.4,24,NA,NA,0.63,1,5,0,0,0,1,0,0,0,0,0,0,0
3098,1971,1,60,4,6,NA,NA,3859,4,NA,NA,130,4,NA,NA,11.83,4,NA,NA,7.09,4,NA,NA,0,0,10,0,0,0,0,0,0,0,1,0,0,0
3116,1796,1,50,2,3,NA,NA,127,2,NA,NA,314,2,NA,NA,23.060000000000002,2,NA,NA,10.77,2,NA,NA,0.54,0,6,0,0,0,0,0,1,0,0,0,0,0
3132,3359,1,20,30,4,NA,NA,147,30,NA,NA,241,30,NA,NA,14.43,30,NA,NA,10.049999999999999,30,NA,NA,0,0,4,0,1,0,0,0,0,0,0,0,0,0
3147,60,1,23,12,5,NA,NA,53,12,NA,NA,120,12,NA,NA,17.33,12,NA,NA,8.25,12,NA,NA,3.92,0,3,0,0,1,0,0,0,0,0,0,0,0
3185,3214,1,65,13,1,NA,NA,13,13,NA,NA,149,13,NA,NA,23.619999999999997,13,NA,NA,14.719999999999999,13,NA,NA,4.11,1,10,0,0,0,0,0,0,0,1,0,0,0
3224,11311,1,30,22,1,NA,NA,289,22,NA,NA,114,22,NA,NA,19.21,22,NA,NA,7.79,22,NA,NA,0,1,8,0,0,0,0,0,0,0,0,1,0,0
3236,2784,1,50,21,5,NA,NA,46,21,NA,NA,119,21,NA,NA,7.199999999999999,21,NA,NA,6.69,21,NA,NA,0,0,8,0,0,0,0,0,0,0,0,1,0,0
