SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_9,adm2_3,adm2_1,adm2_8,adm2_2,adm2_7,adm2_10,adm2_5,adm2_6,adm2_4
29714,877,1,75,29,12,66,12.56,4.22,0.477,0,3,0,1,0,0,0,0,0,0,0,0
29728,9905,1,23,23,16,77,8.13,5.089999999999999,0,0,10,0,0,0,0,0,0,1,0,0,0
29770,3354,1,60,29,21,207,23.28,12.02,0,0,1,0,0,1,0,0,0,0,0,0,0
29772,1970,1,36,14,45,68,7.139999999999999,8.36,0,0,3,0,1,0,0,0,0,0,0,0,0
29797,1456,1,21,25,48,178,13.57,6.8100000000000005,0.09,0,5,0,0,0,0,0,0,0,1,0,0
29803,10733,1,45,27,4076,255,20.359999999999996,12.68,5.793,0,5,0,0,0,0,0,0,0,1,0,0
29818,1764,1,26,3,112,136,11.53,5.6899999999999995,0,0,2,0,0,0,0,1,0,0,0,0,0
29822,9840,1,26,14,225,252,14.680000000000003,7.46,2.3760000000000003,0,8,0,0,0,1,0,0,0,0,0,0
29849,2497,1,60,8,7,52,3.81,2.23,0.21600000000000005,0,6,0,0,0,0,0,0,0,0,1,0
29894,5458,1,30,26,98,157,11.809999999999997,10.45,0,0,2,0,0,0,0,1,0,0,0,0,0
29903,1772,1,65,14,5,58,5.859999999999999,2.65,0.243,0,8,0,0,0,1,0,0,0,0,0,0
29922,4943,1,68,3,18,158,15.039999999999997,8.91,0,0,5,0,0,0,0,0,0,0,1,0,0
29930,4410,1,50,22,14,166,15.61,13.78,0,0,7,0,0,0,0,0,1,0,0,0,0
29977,10817,1,23,20,36,130,13.52,9.77,0.1017,0,4,0,0,0,0,0,0,0,0,0,1
30004,1426,1,75,21,35,144,17.119999999999997,9.249999999999998,0.738,0,1,0,0,1,0,0,0,0,0,0,0
30010,8117,1,34,25,41,201,19.5,13.739999999999998,0.909,0,9,1,0,0,0,0,0,0,0,0,0
