SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_3,adm2_8,adm2_11,adm2_6,adm2_9,adm2_2,adm2_4,adm2_1,adm2_10,adm2_7,adm2_5
23739,11616,1,39,15,43,298,9.9,6.659999999999999,7.2399000000000004,0,1,0,0,0,0,0,0,0,1,0,0,0
23750,2709,1,32,18,30,2534,8.350000000000001,6.37,11.6306,0,9,0,0,0,0,1,0,0,0,0,0,0
23797,6637,1,40,15,52,3222,7.5200000000000005,5.569999999999999,14.702199999999998,0,11,0,0,1,0,0,0,0,0,0,0,0
23886,2308,1,65,13,49,1037,6.75,3.38,4.7097,0,1,0,0,0,0,0,0,0,1,0,0,0
23916,10743,1,36,14,223,1167,17.950000000000003,11.199999999999998,14.0715,0,5,0,0,0,0,0,0,0,0,0,0,1
23951,5298,1,39,23,10,48,3.5,5.119999999999999,0.1035,0,4,0,0,0,0,0,0,1,0,0,0,0
23967,11576,1,72,20,36,83,4.78,3.48,0.45,0,9,0,0,0,0,1,0,0,0,0,0,0
23991,2764,1,43,21,70,105,13.459999999999997,14.659999999999995,7.5329999999999995,0,1,0,0,0,0,0,0,0,1,0,0,0
24001,9728,1,20,6,110,241,20.029999999999994,13.319999999999997,11.709,0,3,1,0,0,0,0,0,0,0,0,0,0
24041,11378,1,30,14,102,2917,20.12,10.15,12.772599999999999,0,10,0,0,0,0,0,0,0,0,1,0,0
24160,971,1,42,19,56,140,10.239999999999998,5.59,0.6785000000000001,0,5,0,0,0,0,0,0,0,0,0,0,1
24163,5325,1,73,14,28,129,7.2299999999999995,5.999999999999999,0.675,0,10,0,0,0,0,0,0,0,0,1,0,0
24176,9690,1,55,8,77,1815,8.73,6.369999999999999,9.178,0,6,0,0,0,1,0,0,0,0,0,0,0
24199,2143,1,52,25,73,5233,8.35,6.76,26.0152,0,7,0,0,0,0,0,0,0,0,0,1,0
24266,7999,1,62,18,42,133,9.739999999999998,7.629999999999999,5.493,0,4,0,0,0,0,0,0,1,0,0,0,0
24289,11056,1,46,16,232,143,9.05,5.18,1.8900000000000001,0,7,0,0,0,0,0,0,0,0,0,1,0
24295,8363,1,60,18,195,353,20.360000000000007,12.2,0.3375,0,7,0,0,0,0,0,0,0,0,0,1,0
24325,6974,1,48,10,34,218,8.99,6.04,0,0,9,0,0,0,0,1,0,0,0,0,0,0
24417,7675,1,45,16,4,155,8.389999999999999,6.63,0,0,5,0,0,0,0,0,0,0,0,0,0,1
24424,331,1,26,20,31,62,8.559999999999999,9.5,4.47,0,2,0,0,0,0,0,1,0,0,0,0,0
24448,5818,1,43,11,95,171,8.229999999999999,6.650000000000001,0,0,1,0,0,0,0,0,0,0,1,0,0,0
24479,10244,1,36,20,4,261,9.939999999999998,5.71,0.36,0,9,0,0,0,0,1,0,0,0,0,0,0
24481,7969,1,35,18,164,6884,11.200000000000001,7.7,31.8424,0,8,0,1,0,0,0,0,0,0,0,0,0
24483,6292,1,18,12,16,845,3.7399999999999998,2,3.71,0,8,0,1,0,0,0,0,0,0,0,0,0
24503,10057,1,63,15,29,1412,11.07,9.47,6.2,0,4,0,0,0,0,0,0,1,0,0,0,0
24506,7893,1,62,8,211,179,14.089999999999998,8.08,3.6629999999999994,0,10,0,0,0,0,0,0,0,0,1,0,0
24519,10931,1,67,25,54,179,22.229999999999997,11.57,4.431839999999999,0,7,0,0,0,0,0,0,0,0,0,1,0
24541,10030,1,62,19,29,549,11.099999999999996,4.97,4.19625,0,11,0,0,1,0,0,0,0,0,0,0,0
24560,11630,1,20,21,279,864,3.33,2.6399999999999997,4.0301,0,9,0,0,0,0,1,0,0,0,0,0,0
24610,4105,1,59,19,41,190,12.410000000000004,9.400000000000002,2.9997000000000003,0,2,0,0,0,0,0,1,0,0,0,0,0
24638,6288,1,62,9,50,89,6,4.64,0.38159999999999994,0,6,0,0,0,1,0,0,0,0,0,0,0
24687,11839,1,87,19,89,154,10.34,4.759999999999999,1.305,0,11,0,0,1,0,0,0,0,0,0,0,0
24700,3740,1,19,30,258,565,9.16,10.859999999999998,6.2265999999999995,0,2,0,0,0,0,0,1,0,0,0,0,0
24707,2841,1,35,12,63,79,4.510000000000001,1.87,0,0,8,0,1,0,0,0,0,0,0,0,0,0
24725,6681,1,31,16,23,188,15.31,10.89,5.06784,0,6,0,0,0,1,0,0,0,0,0,0,0
24737,3040,1,74,24,36,3872,5.92,4.389999999999999,18.083,0,4,0,0,0,0,0,0,1,0,0,0,0
24756,8570,1,37,20,1114,671,21.18,10.779999999999998,11.2005,0,9,0,0,0,0,1,0,0,0,0,0,0
24763,2868,1,55,22,53,115,5.78,3.5,0,0,9,0,0,0,0,1,0,0,0,0,0,0
24787,5178,1,63,18,185,169,5.73,4.949999999999999,0,0,6,0,0,0,1,0,0,0,0,0,0,0
24832,1547,1,40,20,133,1257,6.719999999999999,6.559999999999999,2.5934999999999997,0,11,0,0,1,0,0,0,0,0,0,0,0
