SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_1,adm2_7,adm2_4,adm2_10,adm2_9,adm2_2,adm2_6,adm2_11,adm2_5,adm2_8,adm2_3
27186,1010,2,58,29,75,262,17.18,8.24,4.705,0,3,0,0,0,0,0,0,0,0,0,0,1
27193,7355,2,55,20,29,193,8.379999999999999,7.96,0,0,11,0,0,0,0,0,0,0,1,0,0,0
27248,9369,2,40,26,103,215,13.77,9.61,0,0,5,0,0,0,0,0,0,0,0,1,0,0
27274,3322,2,40,27,44,178,6.68,6.839999999999999,0.225,0,5,0,0,0,0,0,0,0,0,1,0,0
27280,11581,2,42,20,266,81,8.33,5.699999999999999,0,0,11,0,0,0,0,0,0,0,1,0,0,0
27303,7378,2,27,26,4,53,4.88,5.76,0,0,5,0,0,0,0,0,0,0,0,1,0,0
27337,5820,2,46,21,273,91,11.579999999999998,5.849999999999999,0,0,5,0,0,0,0,0,0,0,0,1,0,0
27339,4094,2,38,26,82,119,5.640000000000001,6.46,0,0,11,0,0,0,0,0,0,0,1,0,0,0
27450,6026,2,26,14,14,104,12.049999999999997,6.14,4.2,0,1,1,0,0,0,0,0,0,0,0,0,0
27451,7493,2,42,9,92,352,13.49,7.6899999999999995,0,0,4,0,0,1,0,0,0,0,0,0,0,0
27468,10343,2,33,10,72,157,10.67,7.46,0,0,4,0,0,1,0,0,0,0,0,0,0,0
27487,5814,2,20,13,898,194,19.31,9.91,0,0,10,0,0,0,1,0,0,0,0,0,0,0
27498,3121,2,30,25,56,234,9,8.79,0,0,5,0,0,0,0,0,0,0,0,1,0,0
27502,11835,2,62,2,48,223,14.38,9.339999999999998,1.35,0,6,0,0,0,0,0,0,1,0,0,0,0
27503,4760,2,26,18,171,119,10.840000000000002,7.720000000000001,0,0,11,0,0,0,0,0,0,0,1,0,0,0
27576,8377,2,58,12,56,116,9.28,5.96,0,0,3,0,0,0,0,0,0,0,0,0,0,1
27645,8415,2,25,15,312,61,5.83,4.119999999999999,0,0,11,0,0,0,0,0,0,0,1,0,0,0
27698,5917,2,68,20,584,124,15.290000000000003,5.98,0.261,0,7,0,1,0,0,0,0,0,0,0,0,0
27767,3617,2,40,22,140,116,8.709999999999999,6.61,0,0,2,0,0,0,0,0,1,0,0,0,0,0
27788,10710,2,65,9,80,123,4.550000000000001,1.7800000000000002,0,0,4,0,0,1,0,0,0,0,0,0,0,0
27810,5305,2,58,14,70,150,9.58,5.959999999999999,0.7325999999999999,0,5,0,0,0,0,0,0,0,0,1,0,0
27842,8142,2,24,7,515,218,10.719999999999999,7.62,0,1,10,0,0,0,1,0,0,0,0,0,0,0
27916,1928,2,60,26,37,165,8.419999999999998,4.139999999999999,0.18900000000000003,0,3,0,0,0,0,0,0,0,0,0,0,1
27920,6953,2,32,27,166,234,10.709999999999997,7.12,0,0,5,0,0,0,0,0,0,0,0,1,0,0
27974,7569,2,39,23,1349,152,22.37,7.96,0,0,6,0,0,0,0,0,0,1,0,0,0,0
28006,4948,2,25,24,816,113,17.04,7.129999999999999,2.13,0,5,0,0,0,0,0,0,0,0,1,0,0
28011,2176,2,38,9,384,271,9.760000000000002,7.1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
28043,6755,2,50,21,64,165,8.450000000000001,6.81,1.116,0,5,0,0,0,0,0,0,0,0,1,0,0
28049,10955,2,58,25,1032,174,9.309999999999999,8.959999999999999,2.79,0,5,0,0,0,0,0,0,0,0,1,0,0
28053,3573,2,50,12,60,138,7.1899999999999995,6.729999999999999,0,0,3,0,0,0,0,0,0,0,0,0,0,1
28068,5314,2,25,11,1290,269,13.700000000000001,10.639999999999997,0,0,3,0,0,0,0,0,0,0,0,0,0,1
28116,11499,2,42,29,259,185,10.969999999999999,3.3600000000000003,0,0,1,1,0,0,0,0,0,0,0,0,0,0
28138,6787,2,40,21,197,117,6.4799999999999995,7.219999999999999,0,0,5,0,0,0,0,0,0,0,0,1,0,0
