SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_7,adm2_9,adm2_5,adm2_4,adm2_6,adm2_1,adm2_3,adm2_8,adm2_2,adm2_10
33472,9717,2,60,27,30,80,8.919999999999998,3.72,NA,0,1,0,0,0,0,0,1,0,0,0,0
33507,578,2,50,23,21,134,10.43,7.31,NA,0,10,0,0,0,0,0,0,0,0,0,1
33600,8117,2,65,25,43,239,18.439999999999998,9.89,NA,0,9,0,1,0,0,0,0,0,0,0,0
33620,8126,2,40,30,28,257,12.19,8.91,NA,0,7,1,0,0,0,0,0,0,0,0,0
33622,6446,2,20,28,21,138,9.9,6.76,NA,0,7,1,0,0,0,0,0,0,0,0,0
33735,6128,2,28,28,11,182,17.94,10.7,NA,0,1,0,0,0,0,0,1,0,0,0,0
33750,11646,2,28,16,31,69,5.16,3.55,NA,0,8,0,0,0,0,0,0,0,1,0,0
33754,2532,2,30,1,32,389,34.510000000000005,17.159999999999997,NA,1,8,0,0,0,0,0,0,0,1,0,0
33765,6488,2,45,21,67,282,21.09,14.200000000000001,NA,0,4,0,0,0,1,0,0,0,0,0,0
33770,9486,2,52,21,36,335,26.41,11.49,NA,0,1,0,0,0,0,0,1,0,0,0,0
33774,9510,2,58,27,30,132,16.53,9.12,NA,0,1,0,0,0,0,0,1,0,0,0,0
33868,6800,2,24,9,36,61,5.82,6.319999999999999,NA,0,10,0,0,0,0,0,0,0,0,0,1
33870,5648,2,35,18,31,173,20.959999999999997,9.92,NA,0,1,0,0,0,0,0,1,0,0,0,0
33877,2684,2,50,5,18,74,7.91,4.47,NA,0,5,0,0,1,0,0,0,0,0,0,0
33895,10409,2,25,6,12,59,5.11,4.8,NA,0,7,1,0,0,0,0,0,0,0,0,0
33903,7610,2,35,3,108,157,15.15,9.579999999999998,NA,0,9,0,1,0,0,0,0,0,0,0,0
33904,7556,2,60,8,34,276,29.360000000000003,14.29,NA,0,1,0,0,0,0,0,1,0,0,0,0
33907,3854,2,30,5,22,202,12.799999999999999,8.34,NA,0,9,0,1,0,0,0,0,0,0,0,0
33908,2051,2,35,20,1819,266,30.430000000000003,12.84,NA,0,4,0,0,0,1,0,0,0,0,0,0
33912,5870,2,18,4,6,114,10.269999999999998,5.81,NA,0,5,0,0,1,0,0,0,0,0,0,0
33925,2286,2,60,22,1025,250,21.26,8.85,NA,0,4,0,0,0,1,0,0,0,0,0,0
33949,9761,2,35,26,1274,231,28.349999999999998,11.189999999999998,NA,0,1,0,0,0,0,0,1,0,0,0,0
34013,3501,2,26,3,8,92,8.73,5.579999999999999,NA,0,9,0,1,0,0,0,0,0,0,0,0
34019,3158,2,30,14,19,121,11.15,7.24,NA,0,7,1,0,0,0,0,0,0,0,0,0
34023,10828,2,42,3,7,109,10.969999999999999,5.3,NA,0,5,0,0,1,0,0,0,0,0,0,0
34033,4462,2,30,19,80,150,17.18,9.469999999999999,NA,0,1,0,0,0,0,0,1,0,0,0,0
34074,9317,2,45,6,11,186,8.04,5.049999999999998,NA,0,7,1,0,0,0,0,0,0,0,0,0
34118,6647,2,20,29,628,183,18.369999999999997,7.22,NA,0,1,0,0,0,0,0,1,0,0,0,0
34135,4492,2,21,2,12,124,13.93,8.51,NA,0,1,0,0,0,0,0,1,0,0,0,0
34215,2414,2,18,26,12,49,4.28,2.1,NA,0,2,0,0,0,0,0,0,0,0,1,0
34228,725,2,18,4,81,139,15.47,8.339999999999998,NA,0,1,0,0,0,0,0,1,0,0,0,0
34255,2124,2,45,18,23,126,12.33,8.349999999999998,NA,0,8,0,0,0,0,0,0,0,1,0,0
34295,4281,2,28,12,2601,112,10.459999999999999,11.26,NA,0,10,0,0,0,0,0,0,0,0,0,1
34323,9939,2,18,22,11,129,8.24,6.06,NA,0,7,1,0,0,0,0,0,0,0,0,0
34333,628,2,28,4,28,315,26.380000000000003,13.969999999999999,NA,0,6,0,0,0,0,1,0,0,0,0,0
34348,10076,2,32,22,47,110,7.890000000000001,6.949999999999999,NA,0,7,1,0,0,0,0,0,0,0,0,0
34361,8742,2,27,30,1185,209,28.150000000000002,10.309999999999999,NA,0,1,0,0,0,0,0,1,0,0,0,0
34559,9923,2,22,11,23,142,7.85,6.389999999999999,NA,0,10,0,0,0,0,0,0,0,0,0,1
34565,6662,2,32,7,35,143,8.01,5.92,NA,1,7,1,0,0,0,0,0,0,0,0,0
34630,1813,2,55,3,16,137,7.48,3.5900000000000003,NA,0,5,0,0,1,0,0,0,0,0,0,0
34661,1932,2,65,19,43,124,6.6099999999999985,5.7,NA,0,10,0,0,0,0,0,0,0,0,0,1
34669,3648,2,52,19,88,123,11.31,8.04,NA,0,2,0,0,0,0,0,0,0,0,1,0
34685,11364,2,55,4,488,146,17.709999999999997,10.799999999999999,NA,0,5,0,0,1,0,0,0,0,0,0,0
34694,10922,2,55,21,92,106,14.54,8.26,NA,0,3,0,0,0,0,0,0,1,0,0,0
34707,2082,2,30,10,54,109,9.53,5.8,NA,0,7,1,0,0,0,0,0,0,0,0,0
34735,176,2,18,5,54,119,10.280000000000001,7.07,NA,0,5,0,0,1,0,0,0,0,0,0,0
34737,9715,2,63,19,1948,545,42.84,18.54,NA,0,1,0,0,0,0,0,1,0,0,0,0
34762,226,2,66,21,12,72,6.68,3.62,NA,0,3,0,0,0,0,0,0,1,0,0,0
34763,8250,2,45,14,22,180,14.08,10.659999999999998,NA,0,7,1,0,0,0,0,0,0,0,0,0
